word_en,word_zh,feature_zh,has_feature
acai,巴西莓,有肉或果肉,1
acai,巴西莓,小的,1
acai,巴西莓,可以生吃,1
acai,巴西莓,有籽,1
acai,巴西莓,在熱帶地區生長,1
acai,巴西莓,生長在樹上,1
acai,巴西莓,水果,1
acai,巴西莓,在雜貨店買的,1
acai,巴西莓,健康的,1
acai,巴西莓,食物,1
acai,巴西莓,一種植物,1
acai,巴西莓,圓形的,1
acai,巴西莓,有一個可去掉的果皮,0
acai,巴西莓,在寒冷的氣候中發現,0
acai,巴西莓,重的,0
acai,巴西莓,毛茸茸的,0
acai,巴西莓,夜行性,0
acai,巴西莓,尖銳的,0
acai,巴西莓,植物的葉子,0
acai,巴西莓,調味料,0
acai,巴西莓,有層次的,0
acai,巴西莓,大尺寸的,0
acai,巴西莓,一種蔬菜,0
acai,巴西莓,在田裡生長,1
accordion,手風琴,用手控制,1
accordion,手風琴,大聲的,1
accordion,手風琴,購買的,1
accordion,手風琴,用於娛樂,1
accordion,手風琴,折疊,1
accordion,手風琴,一種樂器,1
accordion,手風琴,有分段,1
accordion,手風琴,大小不同,1
accordion,手風琴,重複使用,1
accordion,手風琴,可以放在口袋裡,0
accordion,手風琴,在室內設計師的範圍內,0
accordion,手風琴,運動相關,0
accordion,手風琴,玻璃製成,0
accordion,手風琴,武器,0
accordion,手風琴,可以切,0
accordion,手風琴,可以閱讀,0
accordion,手風琴,放在牆上,0
accordion,手風琴,提供庇護,0
acorn,橡子,豬鬃,1
acorn,橡子,在車間,1
acorn,橡子,巡航,1
acorn,橡子,入水,1
acorn,橡子,雜貨,1
acorn,橡子,向前,1
acorn,橡子,在車間,0
acorn,橡子,入水,0
acorn,橡子,吃魚,0
acorn,橡子,加熱,0
acorn,橡子,入水,0
acorn,橡子,危險的,0
acorn,橡子,吃,1
acorn,橡子,在車間,0
airplane,飛機,用於大眾運輸,1
airplane,飛機,在天空中發現,1
airplane,飛機,用來長途旅行,1
airplane,飛機,需要燃料,1
airplane,飛機,可以載客,1
airplane,飛機,可以飛,1
airplane,飛機,有操控裝置,1
airplane,飛機,有一個或多個座位,1
airplane,飛機,有窗戶,1
airplane,飛機,有翅膀,1
airplane,飛機,一種交通工具,1
airplane,飛機,一架飛機,1
airplane,飛機,慢的,0
airplane,飛機,價格便宜的,0
airplane,飛機,在車庫甩賣中出售或購買,0
airplane,飛機,在水中或附近發現,0
airplane,飛機,木質的,0
airplane,飛機,可以在軌道上旅行,0
airplane,飛機,有四條腿,0
airplane,飛機,裝飾配件,0
airplane,飛機,家居用品,0
airplane,飛機,在家具店買的,0
airplane,飛機,在浴室裡發現,0
airplane,飛機,縫製的,0
albatross,信天翁,可能會損壞聽力,1
albatross,信天翁,建築物,1
albatross,信天翁,可能會損壞聽力,1
albatross,信天翁,向前,1
albatross,信天翁,有腳蹼,1
albatross,信天翁,有羽毛,1
albatross,信天翁,吃魚,1
albatross,信天翁,一隻鳥,1
albatross,信天翁,一種動​​物,1
albatross,信天翁,有翅膀,1
albatross,信天翁,生活在水附近,1
albatross,信天翁,下蛋,1
albatross,信天翁,大尺寸的,1
albatross,信天翁,搖擺,1
albatross,信天翁,可以唱歌,0
albatross,信天翁,象徵性的,0
albatross,信天翁,有爪子,0
albatross,信天翁,寵物,0
albatross,信天翁,可以騎,0
albatross,信天翁,一個人,0
albatross,信天翁,有牙齒,0
albatross,信天翁,在家裡找到,0
albatross,信天翁,危險的,0
albatross,信天翁,有引擎或馬達,0
alfafa,苜蓿,小的,1
alfafa,苜蓿,價格便宜的,1
alfafa,苜蓿,可以生吃,1
alfafa,苜蓿,在田裡生長,1
alfafa,苜蓿,有莖,1
alfafa,苜蓿,有葉子,1
alfafa,苜蓿,豆類,0
alfafa,苜蓿,一種植物,1
alfafa,苜蓿,一種蔬菜,1
alfafa,苜蓿,食物,1
alfafa,苜蓿,在農場裡發現,1
alfafa,苜蓿,綠色,1
alfafa,苜蓿,重的,0
alfafa,苜蓿,用錫罐出售,0
alfafa,苜蓿,硬的,0
alfafa,苜蓿,多汁的,0
alfafa,苜蓿,圓形的,0
alfafa,苜蓿,有層次的,0
alfafa,苜蓿,有一個核心,0
alfafa,苜蓿,生長在灌木叢上,0
alfafa,苜蓿,有籽,1
alfafa,苜蓿,有層次的,0
alfafa,苜蓿,有一個大果核,0
alfafa,苜蓿,在熱帶地區生長,0
alligator,鱷魚,爬行動物,1
alligator,鱷魚,會走路,1
alligator,鱷魚,有爪子,1
alligator,鱷魚,有腳蹼,1
alligator,鱷魚,游泳,1
alligator,鱷魚,在水中或附近發現,1
alligator,鱷魚,食肉的,1
alligator,鱷魚,一種動​​物,1
alligator,鱷魚,活的,1
alligator,鱷魚,吃小動物,1
alligator,鱷魚,下蛋,1
alligator,鱷魚,在野外發現,1
alligator,鱷魚,可以飛,0
alligator,鱷魚,有皮毛,0
alligator,鱷魚,寵物,0
alligator,鱷魚,住在農場裡,0
alligator,鱷魚,在樹上築巢,0
alligator,鱷魚,有翅膀,0
alligator,鱷魚,需要燃料,0
alligator,鱷魚,絲綢製成,0
alligator,鱷魚,有一個或多個鉸鏈,0
alligator,鱷魚,有剎車,0
alligator,鱷魚,在服裝店買的,0
alligator,鱷魚,酸的,0
anchor,錨,強壯的,1
anchor,錨,重複使用,1
anchor,錨,金屬製成,1
anchor,錨,大尺寸的,1
anchor,錨,大小不同,1
anchor,錨,重的,1
anchor,錨,硬的,1
anchor,錨,在水中或附近發現,1
anchor,錨,在教堂裡發現,0
anchor,錨,可以容納液體,0
anchor,錨,家居用品,0
anchor,錨,一棟建築,0
anchor,錨,木質的,0
anchor,錨,提供庇護,0
anchor,錨,為了孩子,0
anchor,錨,收集廢物,0
anchor,錨,在船上發現,1
anchor,錨,用來喝,0
ant,螞蟻,小的,1
ant,螞蟻,移動,1
ant,螞蟻,一種昆蟲,1
ant,螞蟻,活的,1
ant,螞蟻,吃種子或植物,1
ant,螞蟻,有六條腿,1
ant,螞蟻,輕巧的,1
ant,螞蟻,在野外發現,1
ant,螞蟻,生長,1
ant,螞蟻,有眼睛,1
ant,螞蟻,常見的,1
ant,螞蟻,吃魚,0
ant,螞蟻,一個捕食者,0
ant,螞蟻,有皮毛,0
ant,螞蟻,可以飛,0
ant,螞蟻,大尺寸的,0
ant,螞蟻,一種兩棲動物,0
ant,螞蟻,家居用品,0
ant,螞蟻,可以說話,0
ant,螞蟻,游泳,0
ant,螞蟻,可以唱歌,0
ant,螞蟻,強大的,0
antlers,鹿角,長的,1
antlers,鹿角,戴在頭上,1
antlers,鹿角,強壯的,1
antlers,鹿角,在野外發現,1
antlers,鹿角,在農場裡發現,1
antlers,鹿角,在外面發現或使用,0
antlers,鹿角,為了保護,1
antlers,鹿角,彎曲的,1
antlers,鹿角,身體的一部分,1
antlers,鹿角,有尖頭,1
antlers,鹿角,生長,1
antlers,鹿角,可以受損的,1
antlers,鹿角,會走路,1
antlers,鹿角,有皮膚,0
antlers,鹿角,用於運送人,0
antlers,鹿角,可以承受負荷,0
antlers,鹿角,在空中使用,0
antlers,鹿角,保護層,0
antlers,鹿角,可以騎,0
antlers,鹿角,吃種子或植物,0
antlers,鹿角,可以飛,0
antlers,鹿角,粘滑的,0
antlers,鹿角,有鱗,0
antlers,鹿角,有翅膀,0
anvil,鐵砧,購買的,1
anvil,鐵砧,一個工具,1
anvil,鐵砧,在家庭裝修商店買的,1
anvil,鐵砧,在車庫裡發現,1
anvil,鐵砧,在車間裡發現,1
anvil,鐵砧,硬的,1
anvil,鐵砧,重的,1
anvil,鐵砧,大小不同,1
anvil,鐵砧,金屬製成,1
anvil,鐵砧,重複使用,1
